BEY_20091000_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.587490
BEY_20091000_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.588488
BEY_20091100_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.629486
BEY_20091100_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.632484
BEY_20091100_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.634486
BEY_20091100_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.635482
BEY_20091200_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.678224
BEY_20091200_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.681226
BEY_20091200_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.683225
BEY_20091200_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.684225
BEY_20100100_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.744190
BEY_20100100_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.748185
BEY_20100100_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.749187
BEY_20100100_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.750184
BEY_20100200_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.791222
BEY_20100200_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.796221
BEY_20100200_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.797220
BEY_20100200_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.799217
BEY_20100300_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.841191
BEY_20100300_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.845189
BEY_20100300_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.846188
BEY_20100300_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.848187
BEY_20100400_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.889900
BEY_20100400_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.892897
BEY_20100400_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.894899
BEY_20100400_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.895898
BEY_20100500_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.939844
BEY_20100500_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.947836
BEY_20100500_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.950835
BEY_20100500_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.951835
BEY_20100600_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.994623
BEY_20100600_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.000620
BEY_20100600_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.001621
BEY_20100600_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.003618
BEY_20100700_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.045611
BEY_20100700_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.048608
BEY_20100700_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.050608
BEY_20100700_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.051606
BEY_20100800_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.103548
BEY_20100800_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.107544
BEY_20100800_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.108543
BEY_20100800_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.110544
BEY_20100900_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.154519
BEY_20100900_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.158513
BEY_20100900_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.159513
BEY_20100900_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.160511
BEY_20101000_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.212537
BEY_20101000_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.216533
BEY_20101000_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.218532
BEY_20101000_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.219531
BEY_20101100_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.262504
BEY_20101100_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.266503
BEY_20101100_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.268502
BEY_20101100_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.269500
BEY_20101200_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.312474
BEY_20101200_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.315472
BEY_20101200_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.317471
BEY_20101200_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.318472
BEY_20110100_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.364443
BEY_20110100_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.367440
BEY_20110100_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.369440
BEY_20110100_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.371439
BEY_20110200_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.414412
BEY_20110200_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.417410
BEY_20110200_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.419410
BEY_20110200_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.420409
BEY_20110300_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.464143
BEY_20110300_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.468143
BEY_20110300_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.469141
BEY_20110300_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.470141
BEY_20110400_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.514113
BEY_20110400_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.517110
BEY_20110400_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.519109
BEY_20110400_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.520109
BEY_20110500_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.564083
BEY_20110500_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.568080
BEY_20110500_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.569079
BEY_20110500_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.570079
BEY_20110600_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.617049
BEY_20110600_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.623046
BEY_20110600_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.624046
BEY_20110600_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.625045
BEY_20110700_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.670017
BEY_20110700_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.673016
BEY_20110700_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.675016
BEY_20110700_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.676014
BEY_20110800_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.718670
BEY_20110800_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.721667
BEY_20110800_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.722669
BEY_20110800_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.723666
BEY_20110900_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.766601
BEY_20110900_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.770599
BEY_20110900_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.771599
BEY_20110900_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.772597
BEY_20111000_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.812572
BEY_20111000_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.816570
BEY_20111000_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.817570
BEY_20111000_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.818570
BEY_20111100_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.865600
BEY_20111100_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.868598
BEY_20111100_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.869599
BEY_20111100_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.871597
BEY_20111200_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.913572
BEY_20111200_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.917568
BEY_20111200_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.918569
BEY_20111200_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.919569
BEY_20120100_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:36.964552
BEY_20120100_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.968551
BEY_20120100_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.970549
BEY_20120100_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:36.971548
BEY_20120200_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:37.013551
BEY_20120200_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:37.016550
BEY_20120200_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:37.018548
